fecha,bolilla_1,bolilla_2,bolilla_3,bolilla_4,bolilla_5,bolilla_6,dia_semana,mes,año,suma_total,promedio,rango,num_pares,num_impares,rango_1_13,rango_14_27,rango_28_40
1996-10-24,1,14,17,22,23,33,3.0,10.0,1996.0,110,18.33,32,2.0,4.0,1.0,4.0,1.0
1996-10-31,3,5,15,16,31,37,3.0,10.0,1996.0,107,17.83,34,1.0,5.0,2.0,2.0,2.0
1996-11-07,1,2,8,14,34,35,3.0,11.0,1996.0,94,15.67,34,4.0,2.0,3.0,1.0,2.0
1996-11-14,12,14,34,35,36,37,3.0,11.0,1996.0,168,28.0,25,4.0,2.0,1.0,1.0,4.0
1996-11-21,4,26,27,30,34,37,3.0,11.0,1996.0,158,26.33,33,4.0,2.0,1.0,2.0,3.0
1996-11-28,2,9,10,12,18,23,3.0,11.0,1996.0,74,12.33,21,4.0,2.0,4.0,2.0,0.0
1996-12-05,10,13,16,22,35,40,3.0,12.0,1996.0,136,22.67,30,4.0,2.0,2.0,2.0,2.0
1996-12-12,2,5,8,11,14,40,3.0,12.0,1996.0,80,13.33,38,4.0,2.0,4.0,1.0,1.0
1996-12-19,3,19,29,33,34,37,3.0,12.0,1996.0,155,25.83,34,1.0,5.0,1.0,1.0,4.0
1996-12-26,2,6,11,36,37,38,3.0,12.0,1996.0,130,21.67,36,4.0,2.0,3.0,0.0,3.0
1997-01-02,3,13,32,33,36,38,3.0,1.0,1997.0,155,25.83,35,3.0,3.0,2.0,0.0,4.0
1997-01-09,1,4,27,28,34,39,3.0,1.0,1997.0,133,22.17,38,3.0,3.0,2.0,1.0,3.0
1997-01-16,4,7,17,29,35,39,3.0,1.0,1997.0,131,21.83,35,1.0,5.0,2.0,1.0,3.0
1997-01-23,1,8,9,13,21,39,3.0,1.0,1997.0,91,15.17,38,1.0,5.0,4.0,1.0,1.0
1997-01-30,10,14,21,27,29,39,3.0,1.0,1997.0,140,23.33,29,2.0,4.0,1.0,3.0,2.0
1997-02-06,12,18,20,22,25,34,3.0,2.0,1997.0,131,21.83,22,5.0,1.0,1.0,4.0,1.0
1997-02-13,12,16,22,31,32,40,3.0,2.0,1997.0,153,25.5,28,5.0,1.0,1.0,2.0,3.0
1997-02-20,6,7,9,19,24,33,3.0,2.0,1997.0,98,16.33,27,2.0,4.0,3.0,2.0,1.0
1997-02-27,3,8,16,22,23,40,3.0,2.0,1997.0,112,18.67,37,4.0,2.0,2.0,3.0,1.0
1997-03-06,2,5,9,18,32,36,3.0,3.0,1997.0,102,17.0,34,4.0,2.0,3.0,1.0,2.0
1997-03-13,2,8,14,19,21,35,3.0,3.0,1997.0,99,16.5,33,3.0,3.0,2.0,3.0,1.0
1997-03-20,4,6,12,25,35,39,3.0,3.0,1997.0,121,20.17,35,3.0,3.0,3.0,1.0,2.0
1997-03-27,3,8,12,32,36,38,3.0,3.0,1997.0,129,21.5,35,5.0,1.0,3.0,0.0,3.0
1997-04-03,7,12,17,18,23,34,3.0,4.0,1997.0,111,18.5,27,3.0,3.0,2.0,3.0,1.0
1997-04-10,1,4,12,17,28,33,3.0,4.0,1997.0,95,15.83,32,3.0,3.0,3.0,1.0,2.0
1997-04-17,2,9,17,24,27,39,3.0,4.0,1997.0,118,19.67,37,2.0,4.0,2.0,3.0,1.0
1997-04-24,7,16,17,25,28,33,3.0,4.0,1997.0,126,21.0,26,2.0,4.0,1.0,3.0,2.0
1997-05-01,19,30,33,36,37,39,3.0,5.0,1997.0,194,32.33,20,2.0,4.0,0.0,1.0,5.0
1997-05-08,10,21,22,23,29,34,3.0,5.0,1997.0,139,23.17,24,3.0,3.0,1.0,3.0,2.0
1997-05-15,1,2,5,8,23,35,3.0,5.0,1997.0,74,12.33,34,2.0,4.0,4.0,1.0,1.0
1997-05-22,1,9,10,21,27,30,3.0,5.0,1997.0,98,16.33,29,2.0,4.0,3.0,2.0,1.0
1997-05-29,3,4,9,11,20,32,3.0,5.0,1997.0,79,13.17,29,3.0,3.0,4.0,1.0,1.0
1997-06-05,20,24,25,27,29,36,3.0,6.0,1997.0,161,26.83,16,3.0,3.0,0.0,4.0,2.0
1997-06-12,8,14,17,27,31,39,3.0,6.0,1997.0,136,22.67,31,2.0,4.0,1.0,3.0,2.0
1997-06-19,7,11,17,25,26,32,3.0,6.0,1997.0,118,19.67,25,2.0,4.0,2.0,3.0,1.0
1997-06-26,1,4,7,22,24,26,3.0,6.0,1997.0,84,14.0,25,4.0,2.0,3.0,3.0,0.0
1997-07-03,9,13,15,21,27,36,3.0,7.0,1997.0,121,20.17,27,1.0,5.0,2.0,3.0,1.0
1997-07-10,2,3,6,8,27,33,3.0,7.0,1997.0,79,13.17,31,3.0,3.0,4.0,1.0,1.0
1997-07-17,2,7,10,32,34,35,3.0,7.0,1997.0,120,20.0,33,4.0,2.0,3.0,0.0,3.0
1997-07-24,2,3,11,13,23,26,3.0,7.0,1997.0,78,13.0,24,2.0,4.0,4.0,2.0,0.0
1997-07-31,2,6,7,9,20,36,3.0,7.0,1997.0,80,13.33,34,4.0,2.0,4.0,1.0,1.0
1997-08-07,1,5,6,11,15,30,3.0,8.0,1997.0,68,11.33,29,2.0,4.0,4.0,1.0,1.0
1997-08-14,11,14,29,33,34,40,3.0,8.0,1997.0,161,26.83,29,3.0,3.0,1.0,1.0,4.0
1997-08-21,16,20,23,26,32,34,3.0,8.0,1997.0,151,25.17,18,5.0,1.0,0.0,4.0,2.0
1997-08-28,4,9,12,27,28,35,3.0,8.0,1997.0,115,19.17,31,3.0,3.0,3.0,1.0,2.0
1997-09-04,2,8,9,12,21,27,3.0,9.0,1997.0,79,13.17,25,3.0,3.0,4.0,2.0,0.0
1997-09-11,18,20,26,29,34,35,3.0,9.0,1997.0,162,27.0,17,4.0,2.0,0.0,3.0,3.0
1997-09-18,3,17,19,24,27,29,3.0,9.0,1997.0,119,19.83,26,1.0,5.0,1.0,4.0,1.0
1997-09-25,1,3,17,19,27,30,3.0,9.0,1997.0,97,16.17,29,1.0,5.0,2.0,3.0,1.0
1997-10-02,2,3,13,20,22,27,3.0,10.0,1997.0,87,14.5,25,3.0,3.0,3.0,3.0,0.0
1997-10-09,8,10,18,19,34,37,3.0,10.0,1997.0,126,21.0,29,4.0,2.0,2.0,2.0,2.0
1997-10-16,12,17,25,32,33,40,3.0,10.0,1997.0,159,26.5,28,3.0,3.0,1.0,2.0,3.0
1997-10-23,17,22,26,27,31,34,3.0,10.0,1997.0,157,26.17,17,3.0,3.0,0.0,4.0,2.0
1997-10-30,23,28,30,33,38,31,3.0,10.0,1997.0,183,30.5,15,3.0,3.0,0.0,1.0,5.0
1997-11-06,3,4,18,21,30,37,3.0,11.0,1997.0,113,18.83,34,3.0,3.0,2.0,2.0,2.0
1997-11-13,5,7,12,22,31,34,3.0,11.0,1997.0,111,18.5,29,3.0,3.0,3.0,1.0,2.0
1997-11-20,4,16,21,32,39,40,3.0,11.0,1997.0,152,25.33,36,4.0,2.0,1.0,2.0,3.0
1997-11-27,11,19,26,32,36,38,3.0,11.0,1997.0,162,27.0,27,4.0,2.0,1.0,2.0,3.0
1997-12-04,3,11,15,18,21,40,3.0,12.0,1997.0,108,18.0,37,2.0,4.0,2.0,3.0,1.0
1997-12-11,2,16,20,23,25,40,3.0,12.0,1997.0,126,21.0,38,4.0,2.0,1.0,4.0,1.0
1997-12-18,16,17,23,33,36,31,3.0,12.0,1997.0,156,26.0,20,2.0,4.0,0.0,3.0,3.0
1997-12-25,2,21,22,24,28,29,3.0,12.0,1997.0,126,21.0,27,4.0,2.0,1.0,3.0,2.0
1998-01-01,14,15,29,30,35,38,3.0,1.0,1998.0,161,26.83,24,3.0,3.0,0.0,2.0,4.0
1998-01-08,3,6,15,17,24,33,3.0,1.0,1998.0,98,16.33,30,2.0,4.0,2.0,3.0,1.0
1998-01-15,7,10,11,27,30,37,3.0,1.0,1998.0,122,20.33,30,2.0,4.0,3.0,1.0,2.0
1998-01-22,11,15,16,19,24,25,3.0,1.0,1998.0,110,18.33,14,2.0,4.0,1.0,5.0,0.0
1998-01-29,10,20,22,26,30,40,3.0,1.0,1998.0,148,24.67,30,6.0,0.0,1.0,3.0,2.0
1998-02-05,4,16,17,30,36,38,3.0,2.0,1998.0,141,23.5,34,5.0,1.0,1.0,2.0,3.0
