fecha,Bolilla 1,Bolilla 2,Bolilla 3,Bolilla 4,Bolilla 5,Bolilla 6,0,1,2,3,4
2025-07-05,30.0,18.0,9.0,20.0,26.0,10,,,,,
2025-07-03,9.0,3.0,20.0,35.0,15.0,27 ,,,,,
2025-07-01,16.0,38.0,1.0,26.0,33.0,34,,,,,
2025-06-28,4.0,16.0,21.0,30.0,19.0,32,,,,,
2025-06-26,28.0,37.0,35.0,21.0,25.0,9,,,,,
2025-06-24,16.0,18.0,24.0,26.0,39.0,2,,,,,
2025-06-21,9.0,30.0,4.0,8.0,13.0,2,,,,,
2025-06-19,29.0,11.0,18.0,20.0,4.0,36,,,,,
2025-06-17,8.0,13.0,4.0,19.0,3.0,18,,,,,
2025-06-14,3.0,32.0,6.0,17.0,28.0,21,,,,,
2025-06-12,37.0,13.0,40.0,23.0,12.0,2,,,,,
2025-06-10,34.0,17.0,1.0,20.0,14.0,8,,,,,
2025-06-07,28.0,12.0,15.0,14.0,16.0,33,,,,,
2025-06-05,27.0,19.0,13.0,34.0,35.0,32,,,,,
2025-06-03,17.0,7.0,25.0,18.0,40.0,22,,,,,
2025-05-31,33.0,12.0,31.0,38.0,9.0,29,,,,,
2025-05-29,8.0,31.0,25.0,36.0,11.0,38,,,,,
2025-05-27,19.0,2.0,23.0,39.0,8.0,3,,,,,
2025-05-24,38.0,36.0,27.0,10.0,15.0,35,,,,,
2025-05-22,18.0,35.0,21.0,26.0,5.0,7,,,,,
2025-05-20,14.0,19.0,23.0,36.0,27.0,9,,,,,
2025-05-17,32.0,17.0,26.0,10.0,9.0,30,,,,,
2025-05-15,35.0,30.0,9.0,19.0,1.0,17,,,,,
2025-05-13,12.0,24.0,23.0,16.0,14.0,17,,,,,
2025-05-10,2.0,14.0,20.0,28.0,35.0,21,,,,,
2025-05-08,24.0,10.0,26.0,28.0,38.0,5,,,,,
2025-05-06,5.0,17.0,14.0,18.0,4.0,29,,,,,
2025-05-03,35.0,11.0,5.0,12.0,23.0,22 ,,,,,
2025-05-01,21.0,34.0,1.0,32.0,4.0,24 ,,,,,
2025-04-29,23.0,26.0,6.0,28.0,7.0,38 ,,,,,
2025-04-26,20.0,35.0,3.0,19.0,9.0,29 ,,,,,
2025-04-24,16.0,14.0,17.0,34.0,30.0,40 ,,,,,
2025-04-22,33.0,18.0,12.0,13.0,27.0,24 ,,,,,
2025-04-19,40.0,34.0,4.0,3.0,1.0,22 ,,,,,
2025-04-17,12.0,6.0,38.0,15.0,37.0,02 ,,,,,
2025-04-15,5.0,21.0,37.0,13.0,8.0,34 ,,,,,
2025-04-12,10.0,32.0,26.0,3.0,19.0,11 ,,,,,
2025-04-10,1.0,36.0,20.0,18.0,22.0,02 ,,,,,
2025-04-08,17.0,39.0,38.0,4.0,40.0,28 ,,,,,
2025-04-05,22.0,18.0,39.0,13.0,23.0,30 ,,,,,
2025-04-03,16.0,17.0,32.0,34.0,39.0,13 ,,,,,
2025-04-01,32.0,34.0,28.0,36.0,22.0,14 ,,,,,
2025-03-29,36.0,31.0,33.0,40.0,23.0,25 ,,,,,
2025-03-27,32.0,6.0,26.0,16.0,23.0,10 ,,,,,
2025-03-25,31.0,3.0,36.0,24.0,14.0,33 ,,,,,
2025-03-22,25.0,7.0,34.0,29.0,24.0,23 ,,,,,
2025-03-20,13.0,7.0,35.0,15.0,3.0,11 ,,,,,
2025-03-18,39.0,16.0,22.0,21.0,30.0,12 ,,,,,
2025-03-15,19.0,28.0,3.0,39.0,10.0,09 ,,,,,
2025-03-13,21.0,19.0,6.0,7.0,28.0,40 ,,,,,
2025-03-11,15.0,12.0,34.0,10.0,6.0,39 ,,,,,
2025-03-08,14.0,7.0,39.0,23.0,30.0,09 ,,,,,
2025-03-06,39.0,18.0,30.0,29.0,15.0,05 ,,,,,
2025-03-04,18.0,11.0,4.0,6.0,26.0,30 ,,,,,
2025-03-01,2.0,34.0,38.0,14.0,22.0,40 ,,,,,
2025-02-27,8.0,3.0,29.0,25.0,7.0,22 ,,,,,
2025-02-25,40.0,6.0,31.0,3.0,26.0,32 ,,,,,
2025-02-22,25.0,15.0,26.0,1.0,7.0,18 ,,,,,
2025-02-20,9.0,32.0,21.0,5.0,3.0,27 ,,,,,
2025-02-18,39.0,4.0,17.0,7.0,28.0,22 ,,,,,
2025-02-15,33.0,16.0,39.0,8.0,24.0,29 ,,,,,
2025-02-13,20.0,7.0,2.0,12.0,27.0,08 ,,,,,
2025-02-11,32.0,20.0,15.0,12.0,30.0,11 ,,,,,
2025-02-08,34.0,22.0,16.0,17.0,21.0,29 ,,,,,
2025-02-06,3.0,26.0,13.0,17.0,8.0,25 ,,,,,
2025-02-04,38.0,15.0,20.0,24.0,35.0,37 ,,,,,
2025-02-01,28.0,14.0,26.0,27.0,33.0,04 ,,,,,
2025-01-30,38.0,36.0,33.0,31.0,4.0,20 ,,,,,
