Bolilla 1,Bolilla 2,Bolilla 3,Bolilla 4,Bolilla 5,Bolilla 6
30.0,18.0,9.0,20.0,26.0,10
9.0,3.0,20.0,35.0,15.0,27 
16.0,38.0,1.0,26.0,33.0,34
4.0,16.0,21.0,30.0,19.0,32
28.0,37.0,35.0,21.0,25.0,9
16.0,18.0,24.0,26.0,39.0,2
9.0,30.0,4.0,8.0,13.0,2
29.0,11.0,18.0,20.0,4.0,36
8.0,13.0,4.0,19.0,3.0,18
3.0,32.0,6.0,17.0,28.0,21
37.0,13.0,40.0,23.0,12.0,2
34.0,17.0,1.0,20.0,14.0,8
28.0,12.0,15.0,14.0,16.0,33
27.0,19.0,13.0,34.0,35.0,32
17.0,7.0,25.0,18.0,40.0,22
33.0,12.0,31.0,38.0,9.0,29
8.0,31.0,25.0,36.0,11.0,38
19.0,2.0,23.0,39.0,8.0,3
38.0,36.0,27.0,10.0,15.0,35
18.0,35.0,21.0,26.0,5.0,7
14.0,19.0,23.0,36.0,27.0,9
32.0,17.0,26.0,10.0,9.0,30
35.0,30.0,9.0,19.0,1.0,17
12.0,24.0,23.0,16.0,14.0,17
2.0,14.0,20.0,28.0,35.0,21
24.0,10.0,26.0,28.0,38.0,5
5.0,17.0,14.0,18.0,4.0,29
35.0,11.0,5.0,12.0,23.0,22 
21.0,34.0,1.0,32.0,4.0,24 
23.0,26.0,6.0,28.0,7.0,38 
20.0,35.0,3.0,19.0,9.0,29 
16.0,14.0,17.0,34.0,30.0,40 
33.0,18.0,12.0,13.0,27.0,24 
40.0,34.0,4.0,3.0,1.0,22 
12.0,6.0,38.0,15.0,37.0,02 
5.0,21.0,37.0,13.0,8.0,34 
10.0,32.0,26.0,3.0,19.0,11 
1.0,36.0,20.0,18.0,22.0,02 
17.0,39.0,38.0,4.0,40.0,28 
22.0,18.0,39.0,13.0,23.0,30 
16.0,17.0,32.0,34.0,39.0,13 
32.0,34.0,28.0,36.0,22.0,14 
36.0,31.0,33.0,40.0,23.0,25 
32.0,6.0,26.0,16.0,23.0,10 
31.0,3.0,36.0,24.0,14.0,33 
25.0,7.0,34.0,29.0,24.0,23 
13.0,7.0,35.0,15.0,3.0,11 
39.0,16.0,22.0,21.0,30.0,12 
19.0,28.0,3.0,39.0,10.0,09 
21.0,19.0,6.0,7.0,28.0,40 
15.0,12.0,34.0,10.0,6.0,39 
14.0,7.0,39.0,23.0,30.0,09 
39.0,18.0,30.0,29.0,15.0,05 
18.0,11.0,4.0,6.0,26.0,30 
2.0,34.0,38.0,14.0,22.0,40 
8.0,3.0,29.0,25.0,7.0,22 
40.0,6.0,31.0,3.0,26.0,32 
25.0,15.0,26.0,1.0,7.0,18 
9.0,32.0,21.0,5.0,3.0,27 
39.0,4.0,17.0,7.0,28.0,22 
33.0,16.0,39.0,8.0,24.0,29 
20.0,7.0,2.0,12.0,27.0,08 
