combination,score,svi_score,source,timestamp
"[6, 12, 18, 24, 29, 36]",2.54704576,60.48,lstm_v2,2025-08-01T14:53:41.319787
"[7, 14, 17, 20, 29, 38]",2.5236237600000004,63.2,clustering,2025-08-01T14:53:41.319790
"[3, 9, 10, 17, 21, 32]",1.8481896,65.0,clustering,2025-08-01T14:53:41.319791
"[6, 11, 16, 23, 28, 31]",1.2513715200000002,62.63,ghost_rng,2025-08-01T14:53:41.319792
"[4, 7, 11, 25, 26, 35]",0.90456608,65.0,apriori,2025-08-01T14:53:41.319794
"[6, 12, 18, 24, 29, 35]",0.80484936,60.52,lstm_v2,2025-08-01T14:53:41.319795
"[7, 10, 16, 23, 27, 36]",0.8044982399999999,60.5,transformer_deep,2025-08-01T14:53:41.319796
"[6, 12, 18, 24, 30, 35]",0.7274111999999999,60.48,lstm_v2,2025-08-01T14:53:41.319798
"[10, 13, 21, 22, 24, 39]",0.45212112000000004,65.0,apriori,2025-08-01T14:53:41.319799
"[5, 10, 15, 20, 22, 31]",0.42462420000000006,63.84,clustering,2025-08-01T14:53:41.319800
"[8, 18, 23, 24, 25, 28]",0.42373716,64.0,clustering,2025-08-01T14:53:41.319802
"[1, 11, 28, 29, 36, 38]",0.42162384,60.5,transformer_deep,2025-08-01T14:53:41.319803
"[4, 6, 17, 28, 32, 33]",0.40207692,60.5,transformer_deep,2025-08-01T14:53:41.319804
"[6, 12, 17, 25, 32, 35]",0.40188707999999995,60.4,clustering,2025-08-01T14:53:41.319805
"[6, 13, 18, 24, 29, 35]",0.39919572,60.0,lstm_v2,2025-08-01T14:53:41.319807
"[2, 11, 14, 23, 24, 25]",0.3899522000000001,65.0,apriori,2025-08-01T14:53:41.319808
"[16, 17, 21, 28, 35, 36]",0.36198576000000005,63.88,apriori,2025-08-01T14:53:41.319809
"[1, 3, 4, 5, 15, 28]",0.34685916,64.7,apriori,2025-08-01T14:53:41.319811
"[4, 11, 31, 33, 34, 38]",0.3434868,60.5,transformer_deep,2025-08-01T14:53:41.319812
"[1, 3, 4, 9, 24, 39]",0.34333416,60.7,transformer,2025-08-01T14:53:41.319813
"[6, 7, 18, 26, 27, 31]",0.0,63.45,apriori,2025-08-01T14:53:41.319814
"[2, 6, 17, 21, 24, 34]",0.0,63.44,apriori,2025-08-01T14:53:41.319816
"[10, 12, 20, 21, 25, 26]",0.0,62.4,clustering,2025-08-01T14:53:41.319817
"[11, 18, 21, 24, 26, 28]",0.0,62.34,clustering,2025-08-01T14:53:41.319818
"[18, 19, 20, 21, 22, 35]",0.0,62.78,apriori,2025-08-01T14:53:41.319819
"[3, 4, 5, 16, 27, 33]",0.0,62.27,ghost_rng,2025-08-01T14:53:41.319821
"[15, 26, 31, 32, 33, 37]",0.0,61.95,ghost_rng,2025-08-01T14:53:41.319822
"[15, 20, 23, 24, 26, 35]",0.0,60.77,transformer,2025-08-01T14:53:41.319823
"[15, 17, 30, 33, 35, 40]",0.0,60.67,transformer,2025-08-01T14:53:41.319825
"[3, 6, 10, 20, 28, 38]",0.0,65.0,apriori,2025-08-01T14:53:41.319826
