combination,score,svi_score,source,timestamp
"[9, 17, 27, 30, 34, 37]",70.610208,0.5,genetico,2025-08-02T13:05:59.550335
"[3, 19, 20, 26, 27, 37]",24.279923999999998,0.5,genetico,2025-08-02T13:05:59.550338
"[5, 13, 15, 20, 28, 32]",23.540821999999995,0.5,genetico,2025-08-02T13:05:59.550340
"[2, 7, 11, 12, 15, 38]",18.232419830915372,0.5,clustering,2025-08-02T13:05:59.550342
"[7, 10, 11, 28, 29, 35]",3.3117517003454235,0.5,clustering,2025-08-02T13:05:59.550343
"[7, 12, 17, 24, 29, 31]",1.9297200482392056,0.5,clustering,2025-08-02T13:05:59.550346
"[10, 11, 20, 25, 37, 38]",0.725294944,0.5,montecarlo,2025-08-02T13:05:59.550348
"[1, 7, 19, 20, 28, 31]",0.7241605546989148,0.5,apriori,2025-08-02T13:05:59.550350
"[9, 16, 24, 27, 31, 37]",0.6024901053800328,0.5,apriori,2025-08-02T13:05:59.550353
"[1, 6, 11, 16, 27, 35]",0.5735,0.5,transformer_deep,2025-08-02T13:05:59.550355
"[6, 12, 18, 24, 30, 35]",0.5735,0.5,lstm_v2,2025-08-02T13:05:59.550356
"[6, 12, 18, 24, 29, 35]",0.5735,0.5,lstm_v2,2025-08-02T13:05:59.550357
"[7, 11, 15, 29, 31, 37]",0.48824,0.5,clustering,2025-08-02T13:05:59.550365
"[5, 11, 24, 28, 35, 39]",0.445142335681989,0.5,apriori,2025-08-02T13:05:59.550369
"[6, 9, 11, 24, 27, 32]",0.437647472,0.5,montecarlo,2025-08-02T13:05:59.550373
"[12, 13, 19, 24, 25, 36]",0.437647472,0.5,montecarlo,2025-08-02T13:05:59.550375
"[3, 11, 21, 22, 27, 34]",0.437647472,0.5,montecarlo,2025-08-02T13:05:59.550378
"[2, 4, 9, 13, 21, 40]",0.437647472,0.5,montecarlo,2025-08-02T13:05:59.550380
"[1, 11, 14, 23, 24, 25]",0.43279556584467416,0.5,apriori,2025-08-02T13:05:59.550381
"[9, 12, 18, 28, 29, 30]",0.36175,0.5,transformer_deep,2025-08-02T13:05:59.550383
"[4, 11, 14, 26, 31, 32]",0.36175,0.5,transformer_deep,2025-08-02T13:05:59.550384
"[1, 5, 7, 30, 35, 37]",0.36175,0.5,transformer_deep,2025-08-02T13:05:59.550388
"[2, 7, 10, 15, 33, 37]",0.36175,0.5,ghost_rng,2025-08-02T13:05:59.550389
"[1, 4, 11, 25, 27, 29]",0.31911999999999996,0.5,clustering,2025-08-02T13:05:59.550391
"[1, 6, 11, 15, 22, 28]",0.3005188007175478,0.5,apriori,2025-08-02T13:05:59.550392
"[5, 10, 14, 21, 26, 32]",0.2986992406585012,0.5,apriori,2025-08-02T13:05:59.550394
"[5, 9, 15, 24, 26, 31]",0.29851716082923463,0.5,apriori,2025-08-02T13:05:59.550395
"[2, 8, 24, 32, 34, 40]",0.2732243027154722,0.5,apriori,2025-08-02T13:05:59.550397
"[3, 7, 15, 24, 30, 39]",0.15,0.5,montecarlo,2025-08-02T13:05:59.550400
"[2, 8, 18, 24, 26, 31]",0.15,0.5,montecarlo,2025-08-02T13:05:59.550402
