combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[2, 7, 13, 16, 19, 22]",4.286546727782022,0.6460784313725492,genetico,79,3,20,0,"{np.int64(0): 2, np.int64(1): 3, np.int64(2): 1}",4,0.8972243442831678,0.9,0.0,1.0
"[5, 21, 24, 29, 34, 35]",6.517068101960785,0.4625145882352942,montecarlo,148,2,30,0,"{np.int64(0): 1, np.int64(2): 3, np.int64(3): 2}",2,0.9128342245989305,1.1,0.0,1.0
"[5, 11, 22, 35, 37, 39]",6.950371323249299,0.47040674509803926,montecarlo,149,1,34,0,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 1, np.int64(3): 3}",3,0.9073847720906545,1.0,0.0,1.0
"[3, 12, 17, 30, 34, 39]",6.007241532976827,0.7063725490196079,transformer_fallback,135,3,36,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 1, np.int64(3): 2}",2,0.9049910873440286,1.05,0.0,1.0
"[3, 6, 20, 27, 30, 40]",5.8059928062133945,0.595343137254902,transformer_fallback,126,4,37,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 2, np.int64(3): 1}",1,0.901807995925643,1.1,0.0,1.0
"[2, 7, 10, 31, 33, 37]",5.940381423478481,0.4606568627450981,clustering,120,2,35,0,"{np.int64(0): 3, np.int64(3): 3}",4,0.9080468551056786,1.1,0.0,1.0
"[3, 12, 26, 28, 39, 40]",7.719248497580851,0.4883039215686275,clustering,148,4,37,0,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 2, np.int64(3): 2}",1,0.9155589508530685,1.1,0.0,1.0
"[14, 19, 20, 21, 22, 40]",5.761621912401324,0.454264705882353,lstm,136,4,26,0,"{np.int64(1): 3, np.int64(2): 2, np.int64(3): 1}",1,0.896689584924879,1.05,0.0,1.0
"[12, 19, 20, 21, 22, 23]",3.931167303284951,0.4576470588235294,lstm,117,3,11,0,"{np.int64(1): 3, np.int64(2): 3}",2,0.9013496307613954,0.85,0.0,1.0
"[2, 3, 6, 7, 28, 35]",5.9429187675070025,0.3935294117647059,lstm_v2,81,3,33,0,"{np.int64(0): 4, np.int64(2): 1, np.int64(3): 1}",3,0.8997198879551821,0.9,0.0,1.0
"[2, 6, 13, 14, 15, 33]",6.267994525082759,0.49598039215686274,lstm_v2,83,3,31,0,"{np.int64(0): 2, np.int64(1): 3, np.int64(3): 1}",2,0.9050674815380697,0.85,0.0,1.0
