combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[10, 17, 22, 23, 30, 40]",3.4665085502011244,0.5,default,142,4,30,2,"{0: 1, 1: 1, 2: 3, 3: 1}",2,1.0,0.83,0.0,0.0,0.5793607604792965
"[2, 15, 22, 24, 30, 40]",2.809127207310616,0.5,default,133,5,38,2,"{0: 1, 1: 1, 2: 3, 3: 1}",1,1.0,0.83,0.0,0.032,0.5793607604792965
"[4, 10, 13, 15, 22, 30]",2.8485237390232085,0.5,default,94,4,26,1,"{0: 2, 1: 2, 2: 2}",1,1.0,0.83,0.0,0.0,0.5793607604792965
"[1, 2, 17, 22, 25, 27]",3.0899240558895817,0.5,default,94,2,26,2,"{0: 2, 1: 1, 2: 3}",2,1.0,0.87,0.0,0.0,0.5793607604792965
"[2, 13, 15, 22, 25, 31]",3.581608221283011,0.5,default,108,2,29,1,"{0: 1, 1: 2, 2: 2, 3: 1}",3,1.0,0.87,0.0,0.032,0.5793607604792965
"[5, 10, 13, 20, 29, 37]",3.2919278410433632,0.5,default,114,2,32,2,"{0: 2, 1: 2, 2: 1, 3: 1}",4,1.0,0.83,0.0,0.032,0.5793607604792965
"[8, 13, 22, 28, 29, 32]",2.9636234101050953,0.5,default,132,4,24,3,"{0: 1, 1: 1, 2: 3, 3: 1}",2,1.0,0.87,0.0,0.032,0.5793607604792965
"[13, 18, 20, 21, 33, 38]",3.40702751212525,0.5,default,143,3,25,0,"{1: 3, 2: 1, 3: 2}",1,1.0,0.83,0.0,0.064,0.5793607604792965
"[6, 11, 27, 29, 31, 34]",3.6186873099536863,0.5,default,138,2,28,2,"{0: 1, 1: 1, 2: 2, 3: 2}",3,1.0,0.83,0.0,0.096,0.5793607604792965
"[7, 16, 23, 25, 31, 39]",3.600147765618349,0.5,default,141,1,32,0,"{0: 1, 1: 1, 2: 2, 3: 2}",3,1.0,0.83,0.0,0.064,0.5793607604792965
"[4, 23, 25, 30, 32, 36]",3.40702751212525,0.5,default,150,4,32,0,"{0: 1, 2: 3, 3: 2}",1,1.0,0.87,0.0,0.064,0.5793607604792965
"[2, 17, 24, 32, 33, 36]",3.540666727542474,0.5,default,144,4,34,0,"{0: 1, 1: 1, 2: 1, 3: 3}",2,1.0,0.87,0.0,0.128,0.5793607604792965
"[1, 22, 23, 26, 38, 39]",2.972506941765778,0.5,default,149,3,38,1,"{0: 1, 2: 3, 3: 2}",1,1.0,0.83,0.0,0.064,0.5793607604792965
"[17, 18, 21, 33, 37, 38]",2.566181928416298,0.5,default,164,2,21,0,"{1: 2, 2: 1, 3: 3}",2,1.0,0.73,0.0,0.096,0.5793607604792965
"[6, 25, 27, 32, 36, 37]",3.067522106484383,0.5,default,163,3,31,1,"{0: 1, 2: 2, 3: 3}",1,1.0,0.77,0.0,0.128,0.5793607604792965
"[4, 8, 20, 23, 35, 37]",3.503587638871799,0.5,default,127,3,33,1,"{0: 2, 1: 1, 2: 1, 3: 2}",2,1.0,0.87,0.0,0.064,0.5793607604792965
"[5, 7, 19, 26, 28, 37]",3.2919278410433632,0.5,default,122,2,32,1,"{0: 2, 1: 1, 2: 2, 3: 1}",4,1.0,0.87,0.0,0.032,0.5793607604792965
"[7, 19, 28, 30, 37, 40]",3.205023726971469,0.5,default,161,3,33,1,"{0: 1, 1: 1, 2: 2, 3: 2}",3,1.0,0.73,0.0,0.032,0.5793607604792965
"[12, 13, 27, 28, 32, 34]",3.40702751212525,0.5,default,146,4,22,1,"{1: 2, 2: 2, 3: 2}",1,1.0,0.83,0.0,0.064,0.5793607604792965
