combination,score,svi_score,source,timestamp
"[6, 12, 18, 24, 29, 36]",1.9329320319999999,0.5,lstm_v2,2025-08-01T14:54:13.148237
"[7, 14, 17, 20, 29, 38]",1.9165366320000001,0.5,clustering,2025-08-01T14:54:13.148240
"[3, 9, 10, 17, 21, 32]",1.4437327199999999,0.5,clustering,2025-08-01T14:54:13.148242
"[6, 11, 16, 23, 28, 31]",1.025960064,0.5,ghost_rng,2025-08-01T14:54:13.148246
"[4, 7, 11, 25, 26, 35]",0.783196256,0.5,apriori,2025-08-01T14:54:13.148247
"[6, 12, 18, 24, 29, 35]",0.7133945519999999,0.5,lstm_v2,2025-08-01T14:54:13.148249
"[7, 10, 16, 23, 27, 36]",0.7131487679999999,0.5,transformer_deep,2025-08-01T14:54:13.148251
"[6, 12, 18, 24, 30, 35]",0.65918784,0.5,lstm_v2,2025-08-01T14:54:13.148252
"[10, 13, 21, 22, 24, 39]",0.46648478400000004,0.5,apriori,2025-08-01T14:54:13.148254
"[5, 10, 15, 20, 22, 31]",0.44723694,0.5,clustering,2025-08-01T14:54:13.148255
"[8, 18, 23, 24, 25, 28]",0.446616012,0.5,clustering,2025-08-01T14:54:13.148256
"[1, 11, 28, 29, 36, 38]",0.44513668799999995,0.5,transformer_deep,2025-08-01T14:54:13.148258
"[4, 6, 17, 28, 32, 33]",0.431453844,0.5,transformer_deep,2025-08-01T14:54:13.148259
"[6, 12, 17, 25, 32, 35]",0.431320956,0.5,clustering,2025-08-01T14:54:13.148261
"[6, 13, 18, 24, 29, 35]",0.42943700399999996,0.5,lstm_v2,2025-08-01T14:54:13.148262
"[2, 11, 14, 23, 24, 25]",0.42296654,0.5,apriori,2025-08-01T14:54:13.148263
"[16, 17, 21, 28, 35, 36]",0.403390032,0.5,apriori,2025-08-01T14:54:13.148265
"[1, 3, 4, 5, 15, 28]",0.39280141199999996,0.5,apriori,2025-08-01T14:54:13.148266
"[4, 11, 31, 33, 34, 38]",0.39044075999999994,0.5,transformer_deep,2025-08-01T14:54:13.148267
"[1, 3, 4, 9, 24, 39]",0.390333912,0.5,transformer,2025-08-01T14:54:13.148269
"[6, 7, 18, 26, 27, 31]",0.15,0.5,apriori,2025-08-01T14:54:13.148270
"[2, 6, 17, 21, 24, 34]",0.15,0.5,apriori,2025-08-01T14:54:13.148272
"[10, 12, 20, 21, 25, 26]",0.15,0.5,clustering,2025-08-01T14:54:13.148273
"[11, 18, 21, 24, 26, 28]",0.15,0.5,clustering,2025-08-01T14:54:13.148274
"[18, 19, 20, 21, 22, 35]",0.15,0.5,apriori,2025-08-01T14:54:13.148276
"[3, 4, 5, 16, 27, 33]",0.15,0.5,ghost_rng,2025-08-01T14:54:13.148278
"[15, 26, 31, 32, 33, 37]",0.15,0.5,ghost_rng,2025-08-01T14:54:13.148279
"[15, 20, 23, 24, 26, 35]",0.15,0.5,transformer,2025-08-01T14:54:13.148281
"[15, 17, 30, 33, 35, 40]",0.15,0.5,transformer,2025-08-01T14:54:13.148284
"[3, 6, 10, 20, 28, 38]",0.15,0.5,apriori,2025-08-01T14:54:13.148286
