combination,score,svi_score,source,timestamp
"[2, 5, 20, 21, 27, 32]",47.344784,0.5,genetico,2025-08-02T12:57:54.374801
"[3, 9, 20, 22, 37, 40]",24.328336,0.5,genetico,2025-08-02T12:57:54.374806
"[8, 11, 15, 26, 36, 37]",2.7847930836211865,0.5,clustering,2025-08-02T12:57:54.374809
"[2, 7, 8, 9, 21, 32]",2.7847930836211865,0.5,clustering,2025-08-02T12:57:54.374811
"[12, 23, 26, 29, 30, 40]",1.8679525023933403,0.5,clustering,2025-08-02T12:57:54.374812
"[5, 11, 12, 22, 24, 30]",1.5672749340964274,0.5,clustering,2025-08-02T12:57:54.374814
"[6, 7, 11, 26, 36, 37]",1.5672749340964274,0.5,clustering,2025-08-02T12:57:54.374818
"[1, 2, 8, 21, 32, 39]",1.4204999999999999,0.5,transformer_deep,2025-08-02T12:57:54.374823
"[9, 12, 13, 28, 29, 35]",0.78525,0.5,transformer_deep,2025-08-02T12:57:54.374825
"[10, 11, 20, 25, 37, 38]",0.725294944,0.5,montecarlo,2025-08-02T12:57:54.374827
"[7, 13, 27, 28, 31, 37]",0.5735,0.5,transformer_deep,2025-08-02T12:57:54.374829
"[5, 11, 24, 28, 35, 39]",0.44513013957160597,0.5,apriori,2025-08-02T12:57:54.374830
"[6, 10, 16, 20, 24, 40]",0.437647472,0.5,montecarlo,2025-08-02T12:57:54.374832
"[6, 9, 11, 24, 27, 32]",0.437647472,0.5,montecarlo,2025-08-02T12:57:54.374834
"[1, 11, 14, 23, 24, 25]",0.43281277796633577,0.5,apriori,2025-08-02T12:57:54.374835
"[10, 11, 13, 24, 34, 35]",0.36175,0.5,transformer_deep,2025-08-02T12:57:54.374837
"[1, 6, 11, 15, 22, 28]",0.30050492604886314,0.5,apriori,2025-08-02T12:57:54.374839
"[5, 10, 14, 21, 26, 32]",0.2986503371092164,0.5,apriori,2025-08-02T12:57:54.374843
"[5, 9, 15, 24, 26, 31]",0.2984760699141959,0.5,apriori,2025-08-02T12:57:54.374845
"[6, 12, 18, 24, 29, 35]",0.15,0.5,lstm_v2,2025-08-02T12:57:54.374850
"[3, 7, 15, 24, 30, 39]",0.15,0.5,montecarlo,2025-08-02T12:57:54.374852
"[1, 3, 13, 18, 20, 21]",0.15,0.5,montecarlo,2025-08-02T12:57:54.374853
"[2, 14, 16, 18, 28, 33]",0.15,0.5,montecarlo,2025-08-02T12:57:54.374855
"[7, 8, 10, 12, 19, 30]",0.15,0.5,montecarlo,2025-08-02T12:57:54.374857
"[4, 5, 8, 17, 26, 29]",0.15,0.5,montecarlo,2025-08-02T12:57:54.374858
"[2, 8, 18, 24, 26, 31]",0.15,0.5,montecarlo,2025-08-02T12:57:54.374860
"[13, 28, 31, 36, 38, 40]",0.15,0.5,montecarlo,2025-08-02T12:57:54.374862
"[10, 19, 24, 27, 30, 37]",0.15,0.5,montecarlo,2025-08-02T12:57:54.374863
"[2, 6, 18, 29, 32, 36]",0.15,0.5,montecarlo,2025-08-02T12:57:54.374865
"[6, 9, 10, 31, 32, 38]",0.15,0.5,montecarlo,2025-08-02T12:57:54.374866
